Rapport d'historique de trading,,,,,,,,,,,,,
Nom:,,,My Funded FX - One Step Challenge - Sebastien MORAZZANI-MARIGNY,,,,,,,,,,
Compte:,,,"3095006 (USD, ThinkMarkets-Demo, demo, Hedge)",,,,,,,,,,
Courtier:,,,TF Global Markets (Aust) Pty Ltd,,,,,,,,,,
Date:,,,2023.12.05 14:06,,,,,,,,,,
Positions,,,,,,,,,,,,,
Heure,Position,Symbole,Type,Volume,Prix,S / L,T / P,Heure,Prix,Commission,Echange,Profit,
2023.12.04 12:12:23,48444700,EURUSDx,sell,out,0.22, 1.08641,57041909,0.00,0.00,0.00,- 13.42,4 948.50,[sl 1.08641]
2023.12.04 12:12:23,48444710,EURUSDx,sell,out,0.45, 1.08641,57041910,0.00,0.00,0.00,- 30.15,4 918.35,[sl 1.08641]
2023.12.04 12:15:30,48446495,EURUSDx,sell,out,0.03, 1.08621,57043802,0.00,0.00,0.00,- 2.10,4 916.25,[sl 1.08621]
2023.12.04 14:57:09,48508050,EURUSDx,sell,in,0.38, 1.08677,57108527,- 2.66,0.00,0.00,0.00,4 913.59,
2023.12.04 15:20:00,48517241,EURUSDx,buy,out,0.38, 1.08736,57118208,0.00,0.00,0.00,- 22.42,4 891.17,[sl 1.08736]
2023.12.04 15:59:35,48547836,EURUSDx,sell,in,0.42, 1.08543,57149366,- 2.94,0.00,0.00,0.00,4 888.23,
2023.12.04 16:12:15,48562329,EURUSDx,buy,out,0.42, 1.08363,57163846,0.00,0.00,0.00, 75.60,4 963.83,[tp 1.08363]
2023.12.05 14:08:24,48993364,EURUSDx,sell,in,0.83, 1.08191,57608410,- 5.81,0.00,0.00,0.00,4 958.02,
2023.12.05 15:01:22,49012988,EURUSDx,buy,out,0.83, 1.08186,57629013,0.00,0.00,0.00, 4.15,4 962.17,[sl 1.08186]
,,,,,,,,- 35.42,0.00,0.00,4 997.59,4 962.17,
Solde:,,,4 962.17,,,Marge libre:,,,4 962.17,,,,
Facilités de crédit :,,,0.00,,,Marge:,,,0.00,,,,
P/L flottant:,,,0.00,,,Niveau de la marge:,,,0.00%,,,,
Action:,,,4 962.17,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Résultats,,,,,,,,,,,,,
Profit Total Net:,,,- 37.83,Profit brut:,,, 164.17,Perte brut:,,,- 202.00,,
Facteur de profit:,,, 0.81,Remboursement attendu:,,,- 3.44,,,,,,
Facteur de récupération:,,,- 0.32,Ratio de Sharpe:,,,- 0.00,,,,,,
Solde Drawdown:,,,,,,,,,,,,,
Solde Drawdown Absolu:,,, 117.60,Solde Drawdown Maximal:,,,117.60 (2.35%),Solde Drawdown Relatif:,,,2.35% (117.60),,
Nb trades:,,, 11,Positions Courtes (gagnées %):,,,5 (60.00%),Positions Longues (gagnées %):,,,6 (0.00%),,
,,,,Positions gagnantes (% du total):,,,3 (27.27%),Positions perdantes (% du total):,,,8 (72.73%),,
,,,,Plus large position gagnante:,,, 84.42,Plus large position perdante:,,,- 30.15,,
,,,,Moyenne position gagnante:,,, 54.72,Moyenne position perdante:,,,- 25.25,,
,,,,Maximum :,,,2 (79.75),Maximum Pertes consécutives ($):,,,4 (-98.49),,
,,,,Maximum :,,,84.42 (1),Maximum Pertes consécutives (nombre):,,,-98.49 (4),,
,,,,Moyenne :,,, 2,Moyenne Pertes consecutives:,,, 4,,
